delay	freq	condition	key_resp.rt			delay	freq	condition	key_resp.rt
0.7	1000	exp	0.5387763			0.1	400	unexp	0.3072848
0.4	1000	exp	0.2652533			0.7	400	unexp	0.2862054
0.1	1000	exp	0.6653229			0.4	400	unexp	1.053977
0.4	1000	exp	0.2527189			0.7	400	unexp	0.4005367
0.1	1000	exp	0.9199036			0.4	400	unexp	0.3377384
0.4	1000	exp	0.2059252			0.1	400	unexp	0.2170618
0.1	1000	exp	0.2361353			0.4	400	unexp	0.2232583
0.7	1000	exp	0.9298192			0.7	400	unexp	0.4682219
0.7	1000	exp	0.3639228			0.1	400	unexp	0.2309931
0.7	1000	exp	0.2386533			0.7	400	unexp	0.1359114
0.1	1000	exp	0.4328619			0.4	400	unexp	0.2716941
0.1	1000	exp	0.3440654			0.1	400	unexp	0.0884672
0.1	1000	exp	1.0871632			0.1	400	unexp	0.2680171
0.4	1000	exp	0.2605192			0.7	400	unexp	0.298388
0.7	1000	exp	0.7541027			0.4	400	unexp	0.4085408
0.4	1000	exp	0.147402			0.4	400	unexp	0.9687221
0.7	1000	exp	0.4916416			0.7	400	unexp	0.9955308
0.4	1000	exp	1.0712526			0.1	400	unexp	0.2513766
0.7	1000	exp	0.4891738			0.4	400	unexp	0.4226252
0.1	1000	exp	0.9506932			0.7	400	unexp	0.2267475
0.1	1000	exp	1.0592631			0.1	400	unexp	0.1548256
0.1	1000	exp	0.5302636			0.4	400	unexp	0.4140704
0.4	1000	exp	0.4531885			0.1	400	unexp	0.5980083
0.7	1000	exp	0.344107			0.7	400	unexp	0.181667
0.4	1000	exp	0.2728214			0.1	400	unexp	0.5098349
0.7	1000	exp	0.3569929			0.4	400	unexp	0.1970037
0.4	1000	exp	0.4317243			0.7	400	unexp	0.2362297
0.7	1000	exp	0.2448919			0.4	400	unexp	0.3081368
0.1	1000	exp	0.4156			0.7	400	unexp	0.6845157
0.4	1000	exp	0.5807012			0.1	400	unexp	0.2322443
0.1	1000	exp	0.546621			0.4	400	unexp	0.3146222
0.4	1000	exp	0.441151			0.7	400	unexp	0.7812655
0.4	1000	exp	0.4879824			0.1	400	unexp	0.2761464
0.7	1000	exp	0.9230792			0.4	400	unexp	0.3256374
0.7	1000	exp	1.704766			0.7	400	unexp	0.6021731
0.1	1000	exp	0.6299862			0.1	400	unexp	0.3233529
0.1	1000	exp	0.152501			0.7	400	unexp	0.2549916
0.7	1000	exp	0.2227574			0.1	400	unexp	0.5076347
0.1	1000	exp	1.263592			0.4	400	unexp	0.5193928
0.4	1000	exp	0.2507108			0.1	400	unexp	0.3112223
0.4	1000	exp	0.5228322			0.4	400	unexp	0.3285967
0.4	1000	exp	0.2469396			0.7	400	unexp	0.39816
0.7	1000	exp	0.4539587			0.1	400	unexp	0.3399454
0.7	1000	exp	0.2529551			0.7	400	unexp	0.4114241
0.1	1000	exp	0.4847831			0.4	400	unexp	0.5486161
0.1	1000	exp	0.0577111			0.7	400	unexp	0.2857308
0.7	1000	exp	0.2567564			0.1	400	unexp	0.3010835
0.7	1000	exp	0.2555159			0.4	400	unexp	0.9475967
